user_id,booking_id,created_at,status,checkin_status,booking_start_time,booking_end_time,is_demo
91,160,2023-04-20 05:45:13.847753 UTC,,checkInNotAvailable,2023-04-20 05:45:00.000000 UTC,2023-04-20 16:00:00.000000 UTC,FALSE
38,161,2023-04-24 16:28:25.708596 UTC,,checkedIn,2023-04-25 07:00:00.000000 UTC,2023-04-25 16:00:00.000000 UTC,FALSE
60,162,2023-04-27 07:21:23.398801 UTC,,checkedIn,2023-04-27 07:30:00.000000 UTC,2023-04-27 16:30:00.000000 UTC,"""FALSE"""
53,163,2023-04-28 07:23:11.490465 UTC,,checkInNotAvailable,2023-04-28 07:30:00.000000 UTC,2023-04-28 16:00:00.000000 UTC,FALSE
320,164,2023-05-09 07:56:49.593194 UTC,,readyForCheckIn,2023-05-12 05:00:00.000000 UTC,2023-05-12 17:00:00.000000 UTC,FALSE
289,165,2022-10-24 08:13:12.188274 UTC,,checkInNotAvailable,2022-11-03 06:00:00.000000 UTC,2022-11-03 09:08:08.699000 UTC,FALSE
146,166,2022-10-26 09:59:53.380575 UTC,,checkedIn,2022-11-01 05:00:00.000000 UTC,2022-11-01 17:30:00.000000 UTC,FALSE
146,167,2022-10-26 10:01:07.819372 UTC,,checkedIn,2022-11-04 05:00:00.000000 UTC,2022-11-04 06:02:21.672000 UTC,FALSE
252,168,2022-11-01 07:18:38.711255 UTC,,checkInNotAvailable,2022-11-01 07:00:00.000000 UTC,2022-11-01 17:00:00.000000 UTC,FALSE
311,169,2022-11-10 16:16:14.317534 UTC,,checkedIn,2022-11-17 08:00:00.000000 UTC,2022-11-17 17:30:00.000000 UTC,FALSE
175,170,2022-11-14 08:48:24.933238 UTC,,notCheckedIn,2022-11-17 08:30:00.000000 UTC,2022-11-17 18:00:00.000000 UTC,FALSE
204,171,2022-11-16 08:21:48.688568 UTC,,checkedIn,2022-11-25 08:30:00.000000 UTC,2022-11-25 16:00:00.000000 UTC,FALSE
90,172,2022-11-17 07:55:56.560703 UTC,,checkInNotAvailable,2022-11-17 08:00:00.000000 UTC,2022-11-17 17:00:00.000000 UTC,FALSE
307,173,2022-11-18 12:29:33.430738 UTC,,checkInNotAvailable,2022-11-21 06:00:00.000000 UTC,2022-11-21 18:00:00.000000 UTC,FALSE
173,174,2022-11-24 07:52:53.426512 UTC,,notCheckedIn,2022-11-24 08:00:00.000000 UTC,2022-11-24 18:00:00.000000 UTC,FALSE
